"Medicine Name","Active Ingredients","Therapeutic Use (Indications)","CDSCO Status","Original Source URL"
"EFTI 1G VIAL OF 1 INJECTION","Ceftriaxone","Bacterial Infections","Approved",""
"EFTRITAX 1G DRY VIAL OF 1 POWDER FOR INJECTION","Ceftriaxone","Bacterial Infections","Approved",""
"EFTRITAX SB 1500MG DRY VIAL OF 1 POWDER FOR INJECTION","Ceftriaxone + Sulbactam","Bacterial Infections","Approved",""
"EFTRIMAC O DRY SYRUP 30ML","Cefixime + Ofloxacin","Bacterial Infections","Approved",""
"Eftricin 250mg Inj","Ceftriaxone","Bacterial Infections","Approved",""
"Eftricin 500mg Inj","Ceftriaxone","Bacterial Infections","Approved",""
"Eftricin 1gm Inj","Ceftriaxone","Bacterial Infections","Approved",""
"Eftimax 1gm Inj","Ceftriaxone","Bacterial Infections","Approved",""
"Eftimax Sb 1000/500 Mg Injection 1","Ceftriaxone + Sulbactam","Bacterial Infections","Approved",""
"EFTICURE TZ 1G DRY VIAL OF 1 POWDER FOR INJECTION","Ceftriaxone + Tazobactam","Bacterial Infections","Approved",""
"Eftione 1gm Inj","Ceftriaxone","Bacterial Infections","Approved",""
"Eftione Tz 1.125gm Inj","Ceftriaxone + Tazobactam","Bacterial Infections","Approved",""
"Efudex 250mg Tab","Fluorouracil","Cancer / Precancerous Skin Lesions","Approved",""
"EFUDEX 500MG TABLETS","Fluorouracil","Cancer / Precancerous Skin Lesions","Approved",""
"Efuvo 250mg Tab","Cefuroxime Axetil","Bacterial Infections","Approved",""
"Efuvo 500mg Tab","Cefuroxime Axetil","Bacterial Infections","Approved",""
"EFUTAL 500MG STRIP OF 10 TABLETS","Cefuroxime Axetil","Bacterial Infections","Approved",""
"Efv 200mg Tab","Efavirenz","HIV Infection","Approved",""
"Efv 600mg Tab","Efavirenz","HIV Infection","Approved",""
"EFZON CV TABLETS","Cefuroxime Axetil + Clavulanic Acid","Bacterial Infections","Approved",""
"Ega D 30mg/40mg Capsule","Domperidone + Esomeprazole","GERD / Acidity","Approved",""
"Eg C Gel 20gm","Erythromycin + Clindamycin","Acne Treatment","Approved",""
"EGAC DO STRIP OF 10 CAPSULES","Pantoprazole + Domperidone","GERD / Acidity","Approved",""
"EGAC 40MG STRIP OF 10 TABLETS","Pantoprazole (40mg)","Acidity / Ulcers","Approved",""
"EGAC D 40/10MG STRIP OF 10 TABLETS","Pantoprazole + Domperidone","GERD / Acidity","Approved",""
"EGAGERM SOLUTION 50 ML","Chlorhexidine Gluconate","Antiseptic Disinfectant","Approved",""
"EGALYT PDS SYRUP 60ML","Multivitamins / Iron","Nutritional Supplement","Approved",""
"EGARILE STRIP OF 10 CAPSULES","Prebiotics + Probiotics","Gut flora restoration","Approved",""
"EGBID D 40/30MG CAPSULE 10","Pantoprazole + Domperidone","GERD / Acidity","Approved",""
"Egd Ls Capsule","Esomeprazole + Levosulpiride","GERD / Dyspepsia","Approved",""
"EGD FORTE CAPSULE 10","Esomeprazole + Domperidone","GERD / Acidity","Approved",""
"Egd 40/30 Mg Capsule 10","Esomeprazole (40mg) + Domperidone (30mg)","GERD / Acidity","Approved",""
"Egel Susp 170ml","Magaldrate + Simethicone","Acidity / Heartburn / Gas","Approved",""
"Egetem 2.5mg Tab","Letrozole / Anticancer Hormone","Breast Cancer","Approved",""
"Eggoz 100mg Capsule","Clomiphene Citrate","Infertility Treatment","Approved",""
"eggoZ 50 Mg Tablet 10","Clomiphene Citrate","Infertility Treatment","Approved",""
"Egical 500mg Strip Of 15 Tablets","Calcium Supplements","Bone Health","Approved",""
"EGIFT CAPSULE 10","Nutritional Supplements","Dietary support","Approved",""
"EGISTAT 40 MG TABLET 10","Febuxostat (40mg)","Gout","Approved",""
"Egiva Cap","Vitamin E + Omega 3","Nutritional Supplement","Approved",""
"EGIVER GEL 30 GM","Permethrin / Gamma Benzene Hexachloride","Scabies / Lice Treatment","Approved",""
"Eglev M 500 Mg Tablet 10","Levofloxacin (500mg)","Bacterial Infections","Approved",""
"EGLEY 500 MG TABLET 10","Levofloxacin (500mg)","Bacterial Infections","Approved",""
"EGO M TABLET 10","Etoricoxib + Thiocolchicoside","Pain & Muscle Spasm","Approved",""
"EGO P TABLET 10","Etoricoxib + Paracetamol","Pain Relief / Inflammation","Approved",""
"Egogest 200mg Strip Of 10 Capsules","Progesterone (Natural Micronized)","Hormone Replacement / Pregnancy Support","Approved",""
"EGOSTIN M STRIP OF 10 TABLETS","Ebastine + Montelukast","Allergies / Asthma Prophylaxis","Approved",""
"Egostin 20 mg Tablet 10","Ebastine (20mg)","Allergic Rhinitis / Urticaria","Approved",""
"Egostin 10 Mg Tablet 10","Ebastine (10mg)","Allergic Rhinitis / Urticaria","Approved",""
"EGREST 250 MG TABLET 10","Azithromycin (250mg)","Bacterial Infections","Approved",""
"EGSPAS TABLET 10","Drotaverine + Mefenamic Acid","Abdominal Cramps / Pain","Approved",""
"EGULENT 10 MG TABLET 10","Escitalopram / Antidepressant","Depression / Anxiety","Approved",""
"EGWELL SOFT GELATIN CAPSULE 15","Vitamin E + Nutritional Supplement","Antioxidant","Approved",""
"Egystal 100 Mg Tablet 15","Sitagliptin","Diabetes","Approved",""
"Eh 40mg Tab","Esomeprazole + Domperidone","GERD / Acidity","Approved",""
"EHCOLI BOTTLE OF 60 CAPSULES","Probiotics","Gut health","Approved",""
"EHCLAV TABLETS","Amoxicillin + Clavulanic Acid","Bacterial Infections","Approved",""
"Ehclav Dry Syrpup","Amoxicillin + Clavulanic Acid","Bacterial Infections","Approved",""
"EHCLAV 625 MG TABLET 10","Amoxicillin + Clavulanic Acid","Bacterial Infections","Approved",""
"EHPOD CAPSULE 10","Cefpodoxime","Bacterial Infections","Approved",""
"Ehtab Tab","Ethamsylate","Bleeding control","Approved",""
"EI VACCINE 0.5ML INJECTION 0.5","Equine Influenza Vaccine","Vaccination (Veterinary)","Approved",""
"EICOS STRIP OF 10 TABLETS","Rosuvastatin + Eicosapentaenoic Acid","Cholesterol lowering","Approved",""
"EID F CAPSULE 10","Iron + Folic Acid","Anemia","Approved",""
"EIDO M STRIP OF 15 CAPSULES","Multivitamins / Iron","Dietary Supplement","Approved",""
"Eido Fe Dry Syp","Iron + Folic Acid","Anemia in Children","Approved",""
"Eighteen Bp Soap 75gm","Antibacterial Agent","Skin Infections","Approved",""
"EILEX 32GM GRANULES","Ispaghula Husk","Constipation","Approved",""
"EILEX 100GM GRANULES","Ispaghula Husk","Constipation","Approved",""
"EISEP BOTTLE OF 50ML MOUTHWASH","Chlorhexidine Gluconate","Gingivitis / Mouth Infections","Approved",""
"Eisen 150mg Tab","Iron / Ferrous sulfate","Anemia","Approved",""
"Ej Max Capsule","Sildenafil + Dapoxetine","Erectile Dysfunction + Premature Ejaculation","Approved",""
"EJ MIN E CAPSULE 10","Evening Primrose Oil","Nutritional Supplement","Approved",""
"Eject 30mg Tablet","Dapoxetine","Premature Ejaculation","Approved",""
"EJEG M 500/0.2MG TABLET 15","Metformin + Voglibose","Diabetes","Approved",""
"EJOINT CAPSULE 10","Glucosamine + Diacerein","Osteoarthritis / Joint Health","Approved",""
"EKALON STRIP OF 10 TABLETS","Dexketoprofen","Pain Relief","Approved",""
"EKAN 150 MG TABLET 1","Fluconazole (150mg)","Fungal Infections","Approved",""
"EKAL BOTTLE OF 250ML SOLUTION","Potassium Citrate","Kidney Stones","Approved",""
"EKAL 200 ML SOLUTION","Potassium Citrate","Kidney Stones","Approved",""
"Ekal Susp 100ml","Magaldrate + Simethicone","Acidity","Approved",""
"Ekamil 500mg Inj","Amikacin","Bacterial Infections","Approved",""
"EKE PLUS 0.05/6 % CREAM 15 GM","Halobetasol Proprionate + Salicylic Acid","Skin Conditions / Psoriasis","Approved",""
"Ekef Kit 6'S","Fluconazole + Azithromycin + Secnidazole","Pelvic Inflammatory Disease / Vaginal Infections","Approved",""
"Ekfer Xt Susp 150ml","Ferrous Ascorbate + Folic Acid","Anemia","Approved",""
"Ekinate 60mg Inj","Artesunate","Malaria","Approved",""
"Ekinate Ab Inj","Artemether + Lumefantrine","Malaria","Approved",""
"EKLIB SR 400 MG TABLET 10","Lithium Carbonate","Bipolar Disorder","Approved",""
"Ekomax Capsule","Omeprazole","Gastric Acidity","Approved",""
"EKOMAX D STRIP OF 10 CAPSULES","Omeprazole + Domperidone","GERD","Approved",""
"Ekomax Tablet","Omeprazole","Gastric Acidity","Approved",""
"Ekomax 200mg Tab","Omeprazole (20mg)","Gastric Acidity","Approved",""
"EKOMAX FORTE CAPSULE 10","Omeprazole + Domperidone","GERD","Approved",""
"EKTAM 1GB DRY VIAL OF 1 POWDER FOR INJECTION","Ceftizoxime","Bacterial Infections","Approved",""
"EKTAM 500 MG INJECTION 1","Ceftizoxime","Bacterial Infections","Approved",""
"Ela B Cream 10gm","Eberconazole + Beclomethasone","Fungal Skin Infections","Approved",""
"Elac Tab","Lactic Acid Bacillus","Gut Health","Approved",""
"Elact L Oral Susp 15ml","Lactulose","Constipation","Approved",""
"ELAH 20MG STRIP OF 10 TABLETS","Ebastine","Allergies","Approved",""
"ELAH 10 MG TABLET 10","Ebastine","Allergies","Approved",""
"Elampa Tab","Levocetirizine","Allergies","Approved",""
"ELANDO OINTMENT 15GM","Fluticasone Propionate","Skin Inflammation","Approved",""
"ELARIST 10/120 MG TABLET 10","Fexofenadine + Montelukast","Allergic Rhinitis / Asthma prophylax","Approved",""
"ELARIST M 10/120 TABLET 10","Fexofenadine + Montelukast","Allergic Rhinitis / Asthma prophylax","Approved",""
"Elarist L 10 Mg Tablet 10","Montelukast (10mg)","Asthma prophylax / Allergies","Approved",""
"Elate 25 Mg Tablet 10","Quetiapine","Schizophrenia / Bipolar Disorder","Approved",""
"Elaton 1mg Tablet","Clonazepam","Seizures / Anxiety","Approved",""
"ELATORV 10 MG TABLET 10","Atorvastatin (10mg)","Cholesterol lowering","Approved",""
"Elatorv 40 Mg Tablet 10","Atorvastatin (40mg)","Cholesterol lowering","Approved",""
"Elatorv 20 Mg Tablet 10","Atorvastatin (20mg)","Cholesterol lowering","Approved",""
"Eldcef 250mg Injection","Ceftriaxone","Bacterial Infections","Approved",""
"ELBA CREAM 15 GM","Eberconazole","Fungal Skin Infections","Approved",""
"ELBED STRIP OF 10 TABLETS","Ebastine","Allergies","Approved",""
"ELBED M STRIP OF 10 TABLETS","Ebastine + Montelukast","Allergies","Approved",""
"ELCAIR FORTE INFUSION","Alpha Lipoic Acid","Neuropathy / Diabetes Complications","Approved",""
"ELCET M STRIP OF 10 TABLETS","Levocetirizine + Montelukast","Allergies","Approved",""
"ELCET 5MG STRIP OF 10 TABLETS","Levocetirizine (5mg)","Allergies","Approved",""
"ELCET COLD STRIP OF 10 TABLETS","Levocetirizine + Phenylephrine + Paracetamol","Cold & Cough","Approved",""
"Elcet L 5 Mg Tablet 10","Levocetirizine (5mg)","Allergies","Approved",""
"ELCLAV 625MG STRIP OF 10 TABLETS","Amoxicillin + Clavulanic Acid","Bacterial Infections","Approved",""
"ELCLAV BID 228.5MG BOTTLE OF 30ML DRY SYRUP","Amoxicillin + Clavulanic Acid","Bacterial Infections","Approved",""
"ELCON 150 TABLETS","Fluconazole (150mg)","Fungal Infections","Approved",""
"Elcon O 200/200 Mg Tablet 10","Cefixime + Ofloxacin","Bacterial Infections","Approved",""
"ELCOPIA BOTTLE OF 200ML SYRUP","L-Carnosine / Amino Acids","Nutritional Supplement","Approved",""
"ELCORT 4MG STRIP OF 10 TABLETS","Methylprednisolone","Inflammation / Steroid","Approved",""
